ComponentID:,W
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21,avgQ_24,winQ_24,avgQ_27,winQ_27,avgQ_30,winQ_30,avgQ_33,winQ_33,avgQ_36,winQ_36,avgQ_39,winQ_39,avgQ_42,winQ_42,avgQ_45,winQ_45,avgQ_48,winQ_48,avgQ_51,winQ_51,avgQ_54,winQ_54
11,-0.007187591572711863,0.01667512415474522,-0.6046101337538022,<133>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.9658059419096657,<566>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.770010483766908,<654>
12,0.03614267457627118,0.02476446110891808,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,0.5742150256241503,<454>,0.4088146756110444,<444>,0.604610133753802,<446>,0.13627155853701473,<443>,-0.13627155853701495,<334>,0.13627155853701473,<434>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.5742150256241505,<332>,-0.33206701667977256,<134>,0.4088146756110444,<444>
13,0.9238674576271189,0.000968386029660618,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.905015725650362,<555>,0.905015725650362,<555>,0.9354108337800137,<655>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.935410833780014,<221>
14,0.3255542372881355,0.007136265985435294,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.935410833780014,<221>,-0.935410833780014,<122>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.5742150256241503,<454>,0.9354108337800137,<565>,0.905015725650362,<555>
15,0.0035710403389830492,0.012545468065102162,0.9658059419096657,<566>,0.905015725650362,<555>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9658059419096657,<211>,-0.9658059419096657,<112>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>
16,-0.014228237288135588,0.0006852726128073644,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.7396153756372561,<455>,0.6046101337538021,<644>,0.13627155853701473,<443>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,-0.7700104837669081,<321>,-0.30167190855012077,<234>
17,0.9276049152542373,0.002135270691275844,-0.5742150256241505,<332>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.905015725650362,<555>,0.9658059419096657,<566>,0.9354108337800137,<565>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
18,-0.2940338983050848,0.009564056655963075,-0.9050157256503621,<222>,-0.9658059419096657,<211>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.905015725650362,<555>,0.905015725650362,<555>,0.9354108337800137,<565>,0.905015725650362,<555>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<433>
19,-0.01319724372881356,0.008263117573922741,0.9354108337800137,<655>,0.905015725650362,<555>,0.905015725650362,<555>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>
20,-0.0008803074915254239,0.002499616477765911,0.770010483766908,<654>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.9050157256503621,<222>,-0.935410833780014,<212>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.13627155853701495,<334>,0.5742150256241502,<445>,0.4088146756110444,<444>,0.4088146756110444,<444>
